고유번호,호선,역사코드,역사명,주중주말,방향,급행여부,열차코드,열차도착시간,열차출발시간,출발역,도착역
22855,공항철도,,서울역,DAY,DOWN,0,A1001,,06:00:00,서울역,인천공항2터미널
22856,공항철도,,인천공항1터미널,DAY,DOWN,0,A1001,,06:45:00,서울역,인천공항2터미널
22857,공항철도,,서울역,SAT,DOWN,0,A1001,,06:00:00,서울역,인천공항2터미널
22858,공항철도,,서울역,END,DOWN,0,A1001,,06:00:00,서울역,인천공항2터미널
22859,공항철도,,인천공항1터미널,SAT,DOWN,0,A1001,,06:45:00,서울역,인천공항2터미널
22860,공항철도,,인천공항1터미널,END,DOWN,0,A1001,,06:45:00,서울역,인천공항2터미널
22861,공항철도,,인천공항2터미널,DAY,DOWN,0,A1002,,05:16:00,인천공항2터미널,서울역
22862,공항철도,,인천공항1터미널,DAY,DOWN,0,A1002,,05:24:00,인천공항2터미널,서울역
22863,공항철도,,인천공항2터미널,SAT,DOWN,0,A1002,,05:16:00,인천공항2터미널,서울역
22864,공항철도,,인천공항2터미널,END,DOWN,0,A1002,,05:16:00,인천공항2터미널,서울역
22865,공항철도,,인천공항1터미널,SAT,DOWN,0,A1002,,05:24:00,인천공항2터미널,서울역
22866,공항철도,,인천공항1터미널,END,DOWN,0,A1002,,05:24:00,인천공항2터미널,서울역
22867,공항철도,,서울역,DAY,DOWN,0,A1003,,06:45:00,서울역,인천공항2터미널
22868,공항철도,,인천공항1터미널,DAY,DOWN,0,A1003,,07:30:00,서울역,인천공항2터미널
22869,공항철도,,서울역,SAT,DOWN,0,A1003,,06:45:00,서울역,인천공항2터미널
22870,공항철도,,서울역,END,DOWN,0,A1003,,06:45:00,서울역,인천공항2터미널
22871,공항철도,,인천공항1터미널,SAT,DOWN,0,A1003,,07:30:00,서울역,인천공항2터미널
22872,공항철도,,인천공항1터미널,END,DOWN,0,A1003,,07:30:00,서울역,인천공항2터미널
22873,공항철도,,인천공항2터미널,DAY,DOWN,0,A1004,,06:00:00,인천공항2터미널,서울역
22874,공항철도,,인천공항1터미널,DAY,DOWN,0,A1004,,06:08:00,인천공항2터미널,서울역
22875,공항철도,,인천공항2터미널,SAT,DOWN,0,A1004,,06:00:00,인천공항2터미널,서울역
22876,공항철도,,인천공항2터미널,END,DOWN,0,A1004,,06:00:00,인천공항2터미널,서울역
22877,공항철도,,인천공항1터미널,SAT,DOWN,0,A1004,,06:08:00,인천공항2터미널,서울역
22878,공항철도,,인천공항1터미널,END,DOWN,0,A1004,,06:08:00,인천공항2터미널,서울역
22879,공항철도,,서울역,DAY,DOWN,0,A1005,,07:20:00,서울역,인천공항2터미널
22880,공항철도,,인천공항1터미널,DAY,DOWN,0,A1005,,08:05:00,서울역,인천공항2터미널
22881,공항철도,,서울역,SAT,DOWN,0,A1005,,07:20:00,서울역,인천공항2터미널
22882,공항철도,,서울역,END,DOWN,0,A1005,,07:20:00,서울역,인천공항2터미널
22883,공항철도,,인천공항1터미널,SAT,DOWN,0,A1005,,08:05:00,서울역,인천공항2터미널
22884,공항철도,,인천공항1터미널,END,DOWN,0,A1005,,08:05:00,서울역,인천공항2터미널
22885,공항철도,,인천공항2터미널,DAY,DOWN,0,A1006,,06:30:00,인천공항2터미널,서울역
