연번,호선,환승역명,환승노선,환승거리,환승소요시간
1,1,서울역,4호선,159,02:13
2,1,서울역,공항철도,309,04:18
3,1,서울역,경의중앙선,164,02:17
4,1,서울역,GTX-A,172,02:23
5,1,시청,2호선,101,01:24
6,1,종로3가,3호선,118,01:38
7,1,종로3가,5호선,312,04:20
8,1,동대문,4호선,194,02:42
9,1,동묘앞,6호선,96,01:20
10,1,신설동,2호선,159,02:13
11,1,신설동,우이신설선,129,01:48
12,1,청량리,경의중앙선,165,02:18
13,1,청량리,경춘선,203,02:49
14,1,청량리,수인분당선,180,02:30
15,2,시청,1호선,101,01:24
16,2,을지로3가,3호선,149,02:04
17,2,을지로4가,5호선,77,01:04
18,2,동대문역사문화공원,4호선,45,00:38
19,2,동대문역사문화공원,5호선,234,03:15
20,2,신당,6호선,242,03:22
21,2,왕십리,수인분당선,99,01:23
22,2,왕십리,5호선,86,01:12
23,2,왕십리,경의중앙선,50,00:42
24,2,성수,2호선,23,00:19
25,2,건대입구,7호선,77,01:04
26,2,잠실,8호선,190,02:38
27,2,종합운동장,9호선,94,01:18
28,2,선릉,수인분당선,81,01:08
29,2,강남,신분당선,214,02:58
30,2,교대,3호선,75,01:03
31,2,사당,4호선,74,01:02
32,2,신림,신림선,88,01:13
33,2,대림,7호선,276,03:50
34,2,신도림,1호선,81,01:08
35,2,신도림,2호선,81,01:08
36,2,영등포구청,5호선,110,01:32
37,2,당산,9호선,105,01:28
38,2,합정,6호선,82,01:08
39,2,홍대입구,공항철도,355,04:56
40,2,홍대입구,경의중앙선,305,04:14
41,2,충정로,5호선,212,02:57
42,2,신설동,1호선,159,02:13
43,2,신설동,우이신설선,273,03:48
44,3,종로3가,1호선,118,01:38
45,3,종로3가,5호선,117,01:38
46,3,을지로3가,2호선,149,02:04
47,3,교대,2호선,75,01:03
48,3,양재,신분당선,93,01:18
49,3,연신내,6호선,181,02:31
50,3,연신내,GTX-A,241,03:21
51,3,불광,6호선,100,01:23
52,3,충무로,4호선,17,00:14
53,3,약수,6호선,130,01:48
54,3,옥수,경의중앙선,155,02:09
55,3,신사,신분당선,77,01:04
56,3,고속터미널,7호선,169,02:21
57,3,고속터미널,9호선,155,02:09
58,3,도곡,수인분당선,78,01:05
59,3,수서,국철,92,01:17
60,3,수서,GTX-A,276,03:50
61,3,가락시장,8호선,35,00:29
62,3,오금,5호선,65,00:54
63,4,서울역,1호선,159,02:13
64,4,서울역,공항철도,224,03:07
65,4,서울역,경의중앙선,323,04:29
66,4,서울역,GTX-A,264,03:40
67,4,동대문,1호선,194,02:42
68,4,동대문역사문화공원,2호선,45,00:38
69,4,동대문역사문화공원,5호선,107,01:29
70,4,사당,2호선,74,01:02
71,4,충무로,3호선,17,00:14
72,4,노원,7호선,278,03:52
73,4,창동,1호선,84,01:10
74,4,성신여대입구,우이신설선,7,00:06
75,4,이촌,경의중앙선,78,01:05
76,4,삼각지,6호선,155,02:09
77,4,동작,9호선,245,03:24
78,4,총신대입구,7호선,171,02:23
79,5,김포공항,공항철도,122,04:42
80,5,김포공항,9호선,106,01:28
81,5,김포공항,김포골드라인,200,02:47
82,5,김포공항,서해선,100,01:23
83,5,까치산,2호선,17,00:14
84,5,영등포구청,2호선,110,01:32
85,5,신길,1호선,242,03:22
86,5,여의도,9호선,68,00:57
87,5,공덕,6호선,73,01:01
88,5,공덕,공항철도,275,03:49
89,5,공덕,경의중앙선,214,02:58
90,5,충정로,2호선,212,02:57
91,5,종로3가,1호선,312,04:20
92,5,종로3가,3호선,117,01:38
93,5,을지로4가,2호선,77,01:04
94,5,동대문역사문화공원,2호선,234,03:15
95,5,동대문역사문화공원,4호선,107,01:29
96,5,청구,6호선,104,01:27
97,5,왕십리,2호선,86,01:12
98,5,왕십리,경의중앙선,198,02:45
99,5,왕십리,수인분당선,244,03:23
100,5,군자,7호선,75,01:03
101,5,천호,8호선,35,00:29
102,5,강동,5호선,19,00:16
103,5,올림픽공원,9호선,93,01:18
104,5,오금,3호선,65,00:54
105,6,신내,경춘선,50,00:42
106,6,태릉입구,7호선,46,00:38
107,6,석계,경원선,125,01:44
108,6,동묘앞,1호선,96,01:20
109,6,신당,2호선,242,03:22
110,6,보문,우이신설선,87,01:13
111,6,청구,5호선,104,01:27
112,6,약수,3호선,130,01:48
113,6,삼각지,4호선,155,02:09
114,6,효창공원앞,경의중앙선,110,01:32
115,6,공덕,5호선,73,01:01
116,6,공덕,공항철도,265,03:41
117,6,공덕,경의중앙선,152,02:07
118,6,합정,2호선,82,01:08
119,6,디지털미디어시티,경의중앙선,55,00:46
120,6,디지털미디어시티,공항철도,186,02:35
121,6,불광,3호선,100,01:23
122,6,연신내,3호선,181,02:31
123,6,연신내,GTX-A,187,02:36
124,7,도봉산,1호선,44,00:37
125,7,노원,4호선,278,03:52
126,7,태릉입구,6호선,46,00:38
127,7,상봉,경의중앙선,100,01:23
128,7,상봉,경춘선,100,01:23
129,7,군자,5호선,75,01:03
130,7,건대입구,2호선,77,01:04
131,7,강남구청,수인분당선,125,01:44
132,7,논현,신분당선,80,01:07
133,7,고속터미널,3호선,169,02:21
134,7,고속터미널,9호선,314,04:22
135,7,이수,4호선,171,02:23
136,7,보라매,신림선,71,00:59
137,7,대림,2호선,276,03:50
138,7,가산디지털단지,1호선,110,01:32
139,7,온수,1호선,102,01:25
140,8,천호,5호선,35,00:29
141,8,석촌,9호선,82,01:08
142,8,잠실,2호선,190,02:38
143,8,가락시장,3호선,35,00:29
144,8,복정,수인분당선,16,00:13
145,8,모란,수인분당선,99,01:23
